x,c03,observed_z03,m0_pole,m1_pole_lzeros,m2_pole_lzeros_cross,split
4462,-820.7702462282721,-0.002753767407600857,-0.0023658291591080747,-0.0027691194218395594,-0.0027709002911700713,discovery
4501,-829.1288248586848,-0.002745734207365145,-0.0023555572110993215,-0.0027603410783682103,-0.00276248967036194,discovery
4540,-836.9311391427829,-0.00273593608433284,-0.002345417907785184,-0.002749946555792372,-0.002752475445327349,discovery
4580,-844.4705655417774,-0.0027244967840483795,-0.002335153447554419,-0.0027379102663389293,-0.002740756494265715,discovery
4619,-851.3264069403913,-0.002711903061872977,-0.002325274248897028,-0.002724997205646471,-0.0027278959716515432,discovery
4659,-857.8148264853362,-0.0026974567037328897,-0.0023152708716943087,-0.0027105703953047853,-0.002713150263591078,discovery
4700,-863.8840680834282,-0.0026810732392799114,-0.002305150229848594,-0.002694489556127642,-0.0026964462921183836,discovery
4741,-869.3632326491088,-0.0026631543385544016,-0.002295161157917888,-0.002677068117402658,-0.0026783158369507345,discovery
4782,-874.319522052859,-0.002643965706705391,-0.0022853008296721765,-0.0026583494124673007,-0.0026588936237316577,discovery
4823,-878.7781872931596,-0.002623634756712142,-0.0022755665031512734,-0.0026384367357900626,-0.002638259081844548,discovery
4865,-882.8542600126189,-0.0026017451283561186,-0.002265722622089351,-0.002616918475048534,-0.002616048270250065,discovery
4908,-886.5353604724787,-0.0025783343319931754,-0.0022557755555484113,-0.0025938128994767253,-0.0025924450983470285,discovery
4950,-889.742284415639,-0.0025547972041655423,-0.0022461852121572487,-0.002570274117924452,-0.002568677929412669,discovery
4993,-892.576982460056,-0.0025298998779473003,-0.002236492160347847,-0.0025452766171799026,-0.0025435895459748133,discovery
5036,-894.9930220558372,-0.0025043271806338314,-0.0022269235215807886,-0.0025194944421881374,-0.002517730111599104,discovery
5080,-897.006504710469,-0.0024774221942491566,-0.0022172583906496473,-0.0024924340189056518,-0.0024905730362295964,discovery
5124,-898.5705336607655,-0.0024498443432473095,-0.00220771802083612,-0.002464779904675433,-0.0024628402873417784,discovery
5169,-899.7823460096515,-0.0024211832997397317,-0.0021980870979893025,-0.002435907775548584,-0.0024339786092054654,discovery
5214,-900.5762769591261,-0.0023920153502325846,-0.0021885811268298307,-0.0024064088250821286,-0.0024045656554206,discovery
5259,-900.8731874966334,-0.0023621577918989415,-0.002179197428644501,-0.002376248110359687,-0.0023744691500011635,discovery
5305,-900.6789645093966,-0.0023309981964377453,-0.002169728877037387,-0.0023447477275504894,-0.0023430992248382634,discovery
5351,-900.0769607458622,-0.00229946719815518,-0.002160382684292504,-0.0023126699164559557,-0.0023113676081427466,discovery
5397,-899.0769795301167,-0.002267609411342598,-0.0021511562375752975,-0.0022802048533229744,-0.0022793457618395956,discovery
5444,-897.6713393622017,-0.002234807831270372,-0.002141850257804209,-0.0022469064544924835,-0.002246399478603642,discovery
5491,-896.0567968798157,-0.0022022081871499654,-0.002132664016434365,-0.002213790578398269,-0.002213552977116479,discovery
5539,-894.2546702333684,-0.0021692727921708245,-0.002123403264091423,-0.002180463335710291,-0.002180519165887726,discovery
5587,-892.4453822145447,-0.0021370448643056312,-0.0021142621134258004,-0.0021478737475666633,-0.0021481927087212815,discovery
5636,-890.6665146099378,-0.002105031738557743,-0.002105051236680392,-0.0021155238022183276,-0.0021160229358214593,discovery
5685,-889.0217845201063,-0.0020740379537873034,-0.002095959703240597,-0.0020841846804508977,-0.002084900166798433,discovery
5734,-887.5708714151947,-0.002044167635830434,-0.002086984957994255,-0.0020538861241291505,-0.0020549054407797136,discovery
