x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
6361,-6942.615455283518,-0.013684691690430162,-0.014424397506472668,-0.013699917949414503,-0.013697084067079852,discovery
6416,-7012.382187586758,-0.013644858772906818,-0.014380352776271964,-0.013660240822224274,-0.013657354249884818,discovery
6472,-7085.269114587565,-0.013608134323799597,-0.014336007299634189,-0.0136234351191579,-0.013620635037398311,discovery
6528,-7160.079854994725,-0.013575244094553865,-0.014292156620045873,-0.01359024533220621,-0.013587635880340725,discovery
6585,-7238.135572836858,-0.01354543773855521,-0.014248021144398887,-0.01356004536729515,-0.013557766363095495,discovery
6642,-7318.017175038018,-0.013519017104643611,-0.014204378583098058,-0.01353321897101396,-0.013531319874245981,discovery
6699,-7399.643462248725,-0.013495712811285136,-0.014161219402163997,-0.013509436494801234,-0.013507971686139023,discovery
6758,-7485.905767318127,-0.013474637012724411,-0.014117045105082915,-0.013487600012042609,-0.013486810322091813,discovery
6816,-7572.214908753678,-0.013456389784887505,-0.01407410495583733,-0.013468424950934659,-0.013468502031320025,discovery
6875,-7661.231085520372,-0.013439697953257931,-0.01403090867490968,-0.013450781927840152,-0.013451739295185576,discovery
6935,-7752.76723715727,-0.013424157754519593,-0.013987471399809931,-0.013434341569209626,-0.01343602879600418,discovery
6995,-7845.059024657687,-0.013409563377976857,-0.013944519784753504,-0.013419055272746228,-0.013421323911131228,discovery
7056,-7939.529154966913,-0.01339543710683058,-0.013901340489116204,-0.013404362820766935,-0.013407143251891233,discovery
7117,-8034.4636616191,-0.013381704707362732,-0.013858643856221525,-0.013390182548934954,-0.013393224775547852,discovery
7179,-8131.107310953274,-0.013367609883351093,-0.013815732253520554,-0.013375932474909733,-0.013378875703345311,discovery
7241,-8227.734773706496,-0.01335311109541665,-0.013773300086197886,-0.013361521291466937,-0.013364208868900794,discovery
7304,-8325.858934278458,-0.013337913652401117,-0.013730665079412892,-0.013346475943985352,-0.013348854185402485,discovery
7368,-8425.389094106458,-0.013321880708942396,-0.013687840665200474,-0.013330646602756121,-0.013332638571352943,discovery
7432,-8524.770737025083,-0.013305284232222478,-0.013645497838646214,-0.01331420961337506,-0.013315771001225067,discovery
7496,-8623.876395153407,-0.013287955235213277,-0.013603627228362237,-0.013297123058571026,-0.01329825359959431,discovery
7561,-8724.307947321326,-0.01326973132326227,-0.013561576356244606,-0.013279047681995663,-0.01327987341112474,discovery
7627,-8826.008044375083,-0.013250543719251322,-0.013519357770576881,-0.013259881597830467,-0.01326054203559621,discovery
7693,-8927.25713889821,-0.013230444814069584,-0.013477612666126812,-0.013239836468431096,-0.013240338640008708,discovery
7760,-9029.652648190237,-0.013209259203035183,-0.013435709913775963,-0.013218549897838995,-0.01321886559766913,discovery
7827,-9131.358379450574,-0.013186890112507102,-0.013394276288812035,-0.01319632075956957,-0.013196325596062954,discovery
7895,-9233.86515020891,-0.01316301349008707,-0.013352694599003092,-0.013172873691629606,-0.013172405355387778,discovery
