x,c2,observed_z1,split
53353,118574563.22435868,-0.002546233946655067,discovery
53816,120641712.69016308,-0.0025390100337295773,discovery
54284,122749317.11672467,-0.0025335697241011257,discovery
54755,124888836.62709713,-0.002529895061935547,discovery
55230,127065227.49272996,-0.002527806124723924,discovery
55710,129283606.66166168,-0.0025272113303270224,discovery
56194,131539888.6944719,-0.0025283101966152182,discovery
56682,133834554.55761087,-0.0025312594808938986,discovery
57174,136168093.34078866,-0.0025359046285256385,discovery
57670,138541001.93787396,-0.0025418225843953407,discovery
58171,140958629.65357798,-0.00254848276988801,discovery
58676,143416719.9299807,-0.0025554294693209655,discovery
59185,145915784.80217904,-0.0025621571822604643,discovery
59699,148461314.2166568,-0.002568187649157669,discovery
60218,151053961.1913576,-0.00257282896578083,discovery
60741,153689322.87885463,-0.002575510885457558,discovery
61268,156367928.63556683,-0.0025758851861931763,discovery
61800,159095457.86385268,-0.0025738155148398384,discovery
62337,161872577.30222535,-0.0025692811292336885,discovery
62878,164694721.7989313,-0.0025622160012774005,discovery
63424,167567716.71845692,-0.0025527149641849677,discovery
63975,170492242.1043136,-0.0025410244106657963,discovery
64530,173463610.91769236,-0.0025271825132828145,discovery
65090,176487801.44030863,-0.002511267874949194,discovery
65656,179570980.87815046,-0.002493550368126809,discovery
66226,182702958.10837424,-0.002474351612484141,discovery
66801,185889868.55499053,-0.002453753430888527,discovery
67381,189132425.7936747,-0.0024321123335918136,discovery
67966,192431350.53412735,-0.0024097180379158184,discovery
68556,195787373.83631158,-0.002386618025435626,discovery
69151,199201231.485155,-0.0023629420282696824,discovery
69752,202679474.65598214,-0.002338952740373617,discovery
70357,206211272.7715416,-0.0023150784014849568,discovery
70968,209809048.01946807,-0.002291788828933924,discovery
71584,213467743.2837416,-0.0022695489255939046,discovery
72206,217194142.08105087,-0.0022484659585127608,discovery
72833,220983106.67903185,-0.0022286146520585797,discovery
73465,224835421.26940894,-0.0022099327262128914,discovery
74103,228758050.70150197,-0.002192355355746476,discovery
74747,232751950.0037496,-0.0021759431803896763,discovery
75396,236811800.9360516,-0.0021607582861907972,discovery
76050,240938415.20143926,-0.0021467369724306597,discovery
76711,245145395.22957063,-0.002133758939730186,discovery
77377,249421001.37462354,-0.0021218736681305026,discovery
78049,253772565.70551288,-0.0021112072574377516,discovery
78726,258194536.69189143,-0.0021017102316857046,discovery
79410,262700995.27326608,-0.0020932675347691736,discovery
80099,267279786.87090957,-0.0020859883247484525,discovery
80795,271945234.71638465,-0.0020799126862619723,discovery
81496,276684975.64075994,-0.0020749998793188834,discovery
82204,281513590.46735156,-0.0020709573511763823,discovery
82918,286425413.84517956,-0.0020675572302950728,discovery
83638,291421524.07399523,-0.0020644724826119573,discovery
84364,296503009.1640382,-0.0020613633188510784,discovery
85097,301678051.0049982,-0.0020581325451693886,discovery
85836,306940781.8914392,-0.0020547168258381768,discovery
86581,312292310.56727767,-0.002051113000662459,discovery
87333,317741029.88796794,-0.002047383709457396,discovery
88091,323280914.4509101,-0.002043584809866678,discovery
88856,328920502.45571434,-0.002039813438350171,discovery
89627,334653655.99035263,-0.002036389067520874,validation
90406,340496589.54525185,-0.0020335802815868954,validation
91191,346435663.0614275,-0.002031406927575341,validation
91982,352472053.7153014,-0.002029855271210342,validation
92781,358622407.0717242,-0.0020289856988078073,validation
93587,364880521.3565638,-0.002028830790390316,validation
94399,371239947.4460132,-0.002029151770472561,validation
95219,377717777.8250053,-0.0020297004218785544,validation
96046,384307655.1107209,-0.002030278576703027,validation
96880,391011039.6156473,-0.0020304492878005635,validation
97721,397829403.3746247,-0.002029815357873663,validation
98569,404764224.9173875,-0.0020281864046320665,validation
99425,411825276.6984105,-0.002025470088877593,validation
100289,419014275.848732,-0.0020215451234462914,validation
101159,426316096.7578988,-0.0020163182937433873,validation
102038,433757551.7439952,-0.0020098064519707315,validation
102924,441323469.8773694,-0.002001951543011072,validation
103817,449015412.19117427,-0.001992491453256932,validation
104719,456852394.560565,-0.001981429207308908,validation
105628,464818843.1353843,-0.0019688419286109904,validation
106545,472925228.55763626,-0.001954729968956005,validation
107470,481173382.67810273,-0.0019392171652454244,validation
108404,489574188.7535188,-0.001922346042281268,validation
109345,498111521.8642924,-0.0019042847987720836,validation
110294,506796213.90430236,-0.001885222695149508,validation
111252,515639431.49270105,-0.0018652428807316062,validation
112218,524633972.0167947,-0.001844587836718108,validation
113192,533781758.03381896,-0.0018235391250486994,validation
114175,543094245.1213493,-0.0018022766137828843,validation
115167,552573639.6805742,-0.0017809539480369292,validation
